Flight Name,Expected Takeoff Time,Actual Takeoff Time,Delay Time,Flight Time,Airline,Departure Airport,Arrival Airport
DL192,1686018514,1686019614,1100,4620,Delta Air Lines,SFO,LAX
DL192,1686031419,1686036383,4964,4362,Delta Air Lines,LAX,ORD
DL192,1686046345,1686046350,5,10588,Delta Air Lines,ORD,MKE
DL192,1686060782,1686061170,388,13170,Delta Air Lines,MKE,LAX
DL192,1686084918,1686090856,5938,14947,Delta Air Lines,LAX,ORD
DL192,1686106543,1686107517,974,11458,Delta Air Lines,ORD,MKE
DL192,1686126032,1686127406,1374,10156,Delta Air Lines,MKE,LAX
DL192,1686138281,1686146754,8473,9369,Delta Air Lines,LAX,ORD
DL192,1686165888,1686166545,657,14596,Delta Air Lines,ORD,MKE
DL192,1686188213,1686198762,10549,18313,Delta Air Lines,MKE,ORD
DL192,1686220972,1686221937,965,6540,Delta Air Lines,ORD,MKE
DL192,1686235975,1686244918,8943,8223,Delta Air Lines,MKE,ORD
DL192,1686257796,1686259276,1480,20109,Delta Air Lines,ORD,MKE
DL192,1686283888,1686284977,1089,11926,Delta Air Lines,MKE,SFO
DL192,1686305976,1686315197,9221,7507,Delta Air Lines,SFO,ORD
DL192,1686326349,1686326377,28,12020,Delta Air Lines,ORD,MKE
DL192,1686346876,1686354055,7179,4097,Delta Air Lines,MKE,ORD
DL192,1686360649,1686361562,913,20577,Delta Air Lines,ORD,MKE
DL192,1686389037,1686389932,895,16943,Delta Air Lines,MKE,SFO
DL192,1686417306,1686417946,640,12269,Delta Air Lines,SFO,LAX
DL192,1686435354,1686437072,1718,7004,Delta Air Lines,LAX,SFO
DL192,1686449051,1686456321,7270,17503,Delta Air Lines,SFO,ORD
DL192,1686481551,1686481907,356,19343,Delta Air Lines,ORD,MKE
DL192,1686510469,1686511012,543,6625,Delta Air Lines,MKE,SFO
DL192,1686521765,1686523003,1238,17046,Delta Air Lines,SFO,LAX
DL192,1686546067,1686555104,9037,21584,Delta Air Lines,LAX,ORD
DL192,1686583481,1686583992,511,3993,Delta Air Lines,ORD,MKE
DL192,1686596696,1686597611,915,21169,Delta Air Lines,MKE,LAX
DL192,1686625761,1686626067,306,7252,Delta Air Lines,LAX,SFO
DL192,1686637753,1686639260,1507,4396,Delta Air Lines,SFO,LAX
DL192,1686653530,1686656158,2628,21522,Delta Air Lines,LAX,ORD
DL192,1686681046,1686681591,545,5148,Delta Air Lines,ORD,MKE
DL192,1686689381,1686689434,53,19506,Delta Air Lines,MKE,SFO
DL192,1686719167,1686720565,1398,20417,Delta Air Lines,SFO,LAX
DL192,1686743217,1686750236,7019,17617,Delta Air Lines,LAX,ORD
DL192,1686769574,1686770863,1289,4498,Delta Air Lines,ORD,MKE
DL192,1686777321,1686783308,5987,3606,Delta Air Lines,MKE,ORD
DL192,1686795996,1686797576,1580,4758,Delta Air Lines,ORD,MKE
DL192,1686810601,1686817875,7274,18253,Delta Air Lines,MKE,ORD
DL192,1686843145,1686843921,776,15284,Delta Air Lines,ORD,MKE
DL192,1686861130,1686862342,1212,10151,Delta Air Lines,MKE,LAX
DL192,1686882719,1686891311,8592,6819,Delta Air Lines,LAX,ORD
DL192,1686903173,1686904132,959,7643,Delta Air Lines,ORD,MKE
DL192,1686919381,1686920174,793,16114,Delta Air Lines,MKE,SFO
DL192,1686942200,1686945974,3774,5916,Delta Air Lines,SFO,ORD
DL192,1686956127,1686957696,1569,11951,Delta Air Lines,ORD,MKE
DL192,1686972743,1686973286,543,8913,Delta Air Lines,MKE,LAX
DL192,1686983349,1686992656,9307,16486,Delta Air Lines,LAX,ORD
DL192,1687011004,1687012626,1622,6092,Delta Air Lines,ORD,MKE
DL192,1687022113,1687022186,73,18117,Delta Air Lines,MKE,SFO
DL192,1687040884,1687048114,7230,7870,Delta Air Lines,SFO,ORD
DL192,1687057489,1687058967,1478,16557,Delta Air Lines,ORD,MKE
DL192,1687085963,1687087656,1693,4393,Delta Air Lines,MKE,LAX
DL192,1687099349,1687103522,4173,19136,Delta Air Lines,LAX,ORD
DL192,1687122851,1687124087,1236,7193,Delta Air Lines,ORD,MKE
DL192,1687138580,1687140161,1581,15094,Delta Air Lines,MKE,LAX
DL192,1687165941,1687170613,4672,20065,Delta Air Lines,LAX,ORD
DL192,1687194770,1687195823,1053,20472,Delta Air Lines,ORD,MKE
DL192,1687220875,1687222571,1696,7478,Delta Air Lines,MKE,SFO
DL192,1687231535,1687236807,5272,12146,Delta Air Lines,SFO,ORD
DL192,1687259184,1687259470,286,5211,Delta Air Lines,ORD,MKE
DL192,1687267853,1687267857,4,7444,Delta Air Lines,MKE,SFO
DL192,1687279599,1687281173,1574,9153,Delta Air Lines,SFO,LAX
DL192,1687292377,1687295761,3384,15998,Delta Air Lines,LAX,ORD
DL192,1687320874,1687322597,1723,5918,Delta Air Lines,ORD,MKE
DL192,1687332292,1687333505,1213,4779,Delta Air Lines,MKE,LAX
DL192,1687343369,1687344047,678,9654,Delta Air Lines,LAX,SFO
DL192,1687362905,1687373607,10702,15611,Delta Air Lines,SFO,ORD
DL192,1687390011,1687390936,925,19983,Delta Air Lines,ORD,MKE
DL192,1687411340,1687412696,1356,7739,Delta Air Lines,MKE,LAX
DL192,1687424849,1687425937,1088,5826,Delta Air Lines,LAX,SFO
DL192,1687441895,1687443382,1487,6287,Delta Air Lines,SFO,LAX
DL192,1687456768,1687458493,1725,4975,Delta Air Lines,LAX,SFO
DL192,1687470989,1687478963,7974,16576,Delta Air Lines,SFO,ORD
DL192,1687500354,1687501469,1115,5387,Delta Air Lines,ORD,MKE
DL192,1687508965,1687512232,3267,20340,Delta Air Lines,MKE,ORD
DL192,1687535645,1687536658,1013,10857,Delta Air Lines,ORD,MKE
DL192,1687547559,1687551718,4159,17555,Delta Air Lines,MKE,ORD
DL192,1687576802,1687577104,302,13381,Delta Air Lines,ORD,MKE
DL192,1687593332,1687602658,9326,18061,Delta Air Lines,MKE,ORD
DL192,1687625170,1687625653,483,18164,Delta Air Lines,ORD,MKE
DL192,1687651420,1687658444,7024,17378,Delta Air Lines,MKE,ORD
DL192,1687684379,1687684494,115,17094,Delta Air Lines,ORD,MKE
DL192,1687704857,1687705575,718,8228,Delta Air Lines,MKE,LAX
DL192,1687721290,1687724166,2876,10276,Delta Air Lines,LAX,ORD
DL192,1687739039,1687740355,1316,16496,Delta Air Lines,ORD,MKE
DL192,1687766404,1687767405,1001,15952,Delta Air Lines,MKE,LAX
DL192,1687785554,1687786010,456,16216,Delta Air Lines,LAX,SFO
DL192,1687810096,1687815861,5765,6424,Delta Air Lines,SFO,ORD
DL192,1687828236,1687829292,1056,7874,Delta Air Lines,ORD,MKE
DL192,1687837369,1687838787,1418,12036,Delta Air Lines,MKE,LAX
DL192,1687859460,1687859875,415,17024,Delta Air Lines,LAX,SFO
DL192,1687877085,1687877801,716,14753,Delta Air Lines,SFO,LAX
DL192,1687902869,1687911027,8158,10941,Delta Air Lines,LAX,ORD
DL192,1687922149,1687922776,627,11685,Delta Air Lines,ORD,MKE
DL192,1687937685,1687938339,654,10084,Delta Air Lines,MKE,SFO
DL192,1687948988,1687950391,1403,19892,Delta Air Lines,SFO,LAX
DL192,1687980516,1687980547,31,14263,Delta Air Lines,LAX,SFO
DL192,1688004243,1688005087,844,7199,Delta Air Lines,SFO,LAX
DL192,1688018201,1688018511,310,12987,Delta Air Lines,LAX,SFO
DL192,1688039516,1688048196,8680,12210,Delta Air Lines,SFO,ORD
DL192,1688067505,1688068354,849,11641,Delta Air Lines,ORD,MKE
DL192,1688085789,1688087144,1355,16637,Delta Air Lines,MKE,SFO
DL192,1688104110,1688110307,6197,18293,Delta Air Lines,SFO,ORD
DL192,1688129533,1688130556,1023,14569,Delta Air Lines,ORD,MKE
DL192,1688155924,1688156207,283,9832,Delta Air Lines,MKE,LAX
DL192,1688174256,1688180403,6147,15258,Delta Air Lines,LAX,ORD
DL192,1688204333,1688206034,1701,9968,Delta Air Lines,ORD,MKE
DL192,1688221412,1688231905,10493,12628,Delta Air Lines,MKE,ORD
DL192,1688252360,1688252451,91,13098,Delta Air Lines,ORD,MKE
DL192,1688272571,1688282828,10257,8023,Delta Air Lines,MKE,ORD
DL192,1688301467,1688302148,681,4525,Delta Air Lines,ORD,MKE
DL192,1688307083,1688308841,1758,12327,Delta Air Lines,MKE,LAX
DL192,1688322176,1688323660,1484,6016,Delta Air Lines,LAX,SFO
DL192,1688329684,1688330888,1204,11370,Delta Air Lines,SFO,LAX
DL192,1688344751,1688347004,2253,10916,Delta Air Lines,LAX,ORD
DL192,1688367681,1688369154,1473,16560,Delta Air Lines,ORD,MKE
DL192,1688390487,1688391409,922,18449,Delta Air Lines,MKE,SFO
DL192,1688417638,1688418184,546,15795,Delta Air Lines,SFO,LAX
DL192,1688436492,1688437653,1161,21440,Delta Air Lines,LAX,SFO
DL192,1688459469,1688459624,155,13371,Delta Air Lines,SFO,LAX
DL192,1688478512,1688487153,8641,6436,Delta Air Lines,LAX,ORD
DL192,1688496084,1688497130,1046,11498,Delta Air Lines,ORD,MKE
DL192,1688512932,1688514016,1084,8398,Delta Air Lines,MKE,SFO
DL192,1688526904,1688528445,1541,6714,Delta Air Lines,SFO,LAX
DL192,1688543228,1688550422,7194,20365,Delta Air Lines,LAX,ORD
DL192,1688575937,1688577678,1741,19674,Delta Air Lines,ORD,MKE
DL192,1688603889,1688604329,440,17210,Delta Air Lines,MKE,SFO
DL192,1688623586,1688624127,541,6850,Delta Air Lines,SFO,LAX
DL192,1688631955,1688632039,84,10689,Delta Air Lines,LAX,SFO
DL192,1688645185,1688646789,1604,5900,Delta Air Lines,SFO,LAX
DL192,1688660246,1688669054,8808,8178,Delta Air Lines,LAX,ORD
DL192,1688682126,1688682214,88,14794,Delta Air Lines,ORD,MKE
DL192,1688707215,1688716704,9489,3761,Delta Air Lines,MKE,ORD
DL192,1688722146,1688723779,1633,12402,Delta Air Lines,ORD,MKE
DL192,1688739460,1688745268,5808,8014,Delta Air Lines,MKE,ORD
DL192,1688755810,1688756404,594,13455,Delta Air Lines,ORD,MKE
DL192,1688778974,1688780024,1050,14063,Delta Air Lines,MKE,LAX
DL192,1688796013,1688797376,1363,18006,Delta Air Lines,LAX,SFO
DL192,1688826106,1688829038,2932,15276,Delta Air Lines,SFO,ORD
DL192,1688854437,1688854840,403,7179,Delta Air Lines,ORD,MKE
DL192,1688863217,1688864164,947,3950,Delta Air Lines,MKE,SFO
DL192,1688873895,1688878079,4184,9942,Delta Air Lines,SFO,ORD
DL192,1688894821,1688895359,538,14215,Delta Air Lines,ORD,MKE
DL192,1688915393,1688915843,450,14443,Delta Air Lines,MKE,SFO
DL192,1688936236,1688936422,186,17222,Delta Air Lines,SFO,LAX
DL192,1688955732,1688964887,9155,20062,Delta Air Lines,LAX,ORD
DL192,1688995679,1688997200,1521,8601,Delta Air Lines,ORD,MKE
DL192,1689005808,1689007064,1256,8416,Delta Air Lines,MKE,LAX
DL192,1689021009,1689021658,649,17407,Delta Air Lines,LAX,SFO
DL192,1689042636,1689043962,1326,15763,Delta Air Lines,SFO,LAX
DL192,1689063384,1689065864,2480,13136,Delta Air Lines,LAX,ORD
DL192,1689086652,1689088276,1624,20021,Delta Air Lines,ORD,MKE
DL192,1689111528,1689111549,21,16023,Delta Air Lines,MKE,LAX
DL192,1689129770,1689133010,3240,5554,Delta Air Lines,LAX,ORD
DL192,1689147258,1689147813,555,12578,Delta Air Lines,ORD,MKE
DL192,1689160559,1689161804,1245,17916,Delta Air Lines,MKE,SFO
DL192,1689184781,1689185454,673,15175,Delta Air Lines,SFO,LAX
DL192,1689205199,1689210293,5094,9334,Delta Air Lines,LAX,ORD
DL192,1689230026,1689230765,739,12234,Delta Air Lines,ORD,MKE
DL192,1689243607,1689245647,2040,20004,Delta Air Lines,MKE,ORD
DL192,1689276305,1689277345,1040,10704,Delta Air Lines,ORD,MKE
DL192,1689295334,1689295953,619,11539,Delta Air Lines,MKE,SFO
DL192,1689310116,1689311469,1353,14510,Delta Air Lines,SFO,LAX
DL192,1689326241,1689333909,7668,14468,Delta Air Lines,LAX,ORD
DL192,1689349611,1689350318,707,13567,Delta Air Lines,ORD,MKE
DL192,1689372127,1689372522,395,11531,Delta Air Lines,MKE,LAX
DL192,1689384487,1689384941,454,16732,Delta Air Lines,LAX,SFO
DL192,1689404710,1689404886,176,14561,Delta Air Lines,SFO,LAX
DL192,1689426859,1689429837,2978,15852,Delta Air Lines,LAX,ORD
DL192,1689453451,1689454870,1419,5440,Delta Air Lines,ORD,MKE
DL192,1689463375,1689464213,838,5947,Delta Air Lines,MKE,SFO
DL192,1689475308,1689476496,1188,13636,Delta Air Lines,SFO,LAX
DL192,1689492489,1689493927,1438,6639,Delta Air Lines,LAX,SFO
DL192,1689502222,1689504532,2310,5317,Delta Air Lines,SFO,ORD
DL192,1689515378,1689517148,1770,5425,Delta Air Lines,ORD,MKE
DL192,1689523478,1689533546,10068,15038,Delta Air Lines,MKE,ORD
DL192,1689549039,1689550052,1013,6369,Delta Air Lines,ORD,MKE
DL192,1689562464,1689563845,1381,11839,Delta Air Lines,MKE,LAX
DL192,1689586117,1689589240,3123,8007,Delta Air Lines,LAX,ORD
DL192,1689599640,1689600655,1015,10726,Delta Air Lines,ORD,MKE
DL192,1689611823,1689612141,318,15688,Delta Air Lines,MKE,SFO
DL192,1689630772,1689633999,3227,15597,Delta Air Lines,SFO,ORD
DL192,1689655578,1689655971,393,11866,Delta Air Lines,ORD,MKE
DL192,1689671589,1689671636,47,7288,Delta Air Lines,MKE,SFO
DL192,1689683492,1689683745,253,12031,Delta Air Lines,SFO,LAX
DL192,1689702610,1689704164,1554,20360,Delta Air Lines,LAX,SFO
DL192,1689730865,1689733508,2643,12761,Delta Air Lines,SFO,ORD
DL192,1689751622,1689752178,556,10143,Delta Air Lines,ORD,MKE
DL192,1689768899,1689775876,6977,20007,Delta Air Lines,MKE,ORD
DL192,1689798613,1689799104,491,21555,Delta Air Lines,ORD,MKE
DL192,1689827456,1689827593,137,6937,Delta Air Lines,MKE,SFO
DL192,1689843444,1689844246,802,16373,Delta Air Lines,SFO,LAX
DL192,1689863948,1689865002,1054,12364,Delta Air Lines,LAX,SFO
DL192,1689886501,1689887408,907,3721,Delta Air Lines,SFO,LAX
DL192,1689899928,1689907055,7127,4657,Delta Air Lines,LAX,ORD
DL192,1689912060,1689913186,1126,16615,Delta Air Lines,ORD,MKE
DL192,1689934794,1689935352,558,12433,Delta Air Lines,MKE,SFO
DL192,1689951170,1689951364,194,7086,Delta Air Lines,SFO,LAX
DL192,1689962828,1689963457,629,21566,Delta Air Lines,LAX,SFO
DL192,1689994267,1689995822,1555,5204,Delta Air Lines,SFO,LAX
DL192,1690009273,1690009367,94,14102,Delta Air Lines,LAX,SFO
DL192,1690033131,1690034117,986,17151,Delta Air Lines,SFO,LAX
DL192,1690057265,1690057780,515,13387,Delta Air Lines,LAX,SFO
DL192,1690078752,1690085366,6614,20369,Delta Air Lines,SFO,ORD
DL192,1690111432,1690111620,188,17388,Delta Air Lines,ORD,MKE
DL192,1690134481,1690135558,1077,7004,Delta Air Lines,MKE,SFO
DL192,1690148682,1690150391,1709,4468,Delta Air Lines,SFO,LAX
DL192,1690163550,1690166556,3006,4846,Delta Air Lines,LAX,ORD
DL192,1690172058,1690172629,571,19517,Delta Air Lines,ORD,MKE
DL192,1690193928,1690201267,7339,19002,Delta Air Lines,MKE,ORD
DL192,1690222122,1690222555,433,17306,Delta Air Lines,ORD,MKE
DL192,1690242518,1690247052,4534,8217,Delta Air Lines,MKE,ORD
DL192,1690259067,1690260141,1074,19046,Delta Air Lines,ORD,MKE
DL192,1690286112,1690287580,1468,13237,Delta Air Lines,MKE,LAX
DL192,1690305826,1690306488,662,7244,Delta Air Lines,LAX,SFO
DL192,1690314341,1690319308,4967,4956,Delta Air Lines,SFO,ORD
DL192,1690333666,1690334878,1212,14026,Delta Air Lines,ORD,MKE
DL192,1690355193,1690356903,1710,6471,Delta Air Lines,MKE,SFO
DL192,1690370002,1690372337,2335,21079,Delta Air Lines,SFO,ORD
DL192,1690403438,1690404358,920,12847,Delta Air Lines,ORD,MKE
DL192,1690417667,1690418397,730,11851,Delta Air Lines,MKE,LAX
DL192,1690436191,1690436598,407,9776,Delta Air Lines,LAX,SFO
DL192,1690453732,1690457140,3408,7990,Delta Air Lines,SFO,ORD
DL192,1690468571,1690469742,1171,20507,Delta Air Lines,ORD,MKE
DL192,1690490277,1690491840,1563,10990,Delta Air Lines,MKE,LAX
DL192,1690513323,1690524097,10774,18509,Delta Air Lines,LAX,ORD
DL192,1690551814,1690552599,785,6189,Delta Air Lines,ORD,MKE
DL192,1690561199,1690561826,627,14802,Delta Air Lines,MKE,LAX
DL192,1690583618,1690584127,509,15229,Delta Air Lines,LAX,SFO
DL192,1690599740,1690601416,1676,12655,Delta Air Lines,SFO,LAX
DL192,1690622469,1690623607,1138,18089,Delta Air Lines,LAX,SFO
DL192,1690652401,1690659865,7464,21100,Delta Air Lines,SFO,ORD
